level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,91,84,43,39,77.098816,/
5,1,1,1,1,2,302,78,71,78,66.67305,\
5,1,1,1,2,1,60,122,32,69,88.950935,/
5,1,1,1,2,2,156,162,52,42,62.208626,—«
5,1,1,1,2,3,372,156,13,42,93.199959,\
5,1,1,1,3,1,156,202,40,18,63.243206,a
5,1,1,1,3,2,383,198,3,10,86.048935,|
5,1,1,1,4,8,1058,210,12,21,63.071526,Ş
5,1,1,1,5,1,203,265,38,10,69.633041,.»
5,1,1,1,5,4,636,250,4,15,72.770065,bhi
5,1,1,1,5,5,710,253,9,4,63.21611,c
5,1,1,1,6,1,62,262,47,79,84.635712,\
5,1,1,1,6,2,186,289,74,11,84.108803,.—
5,1,1,1,6,3,362,276,16,31,96.157021,/
5,1,1,1,12,4,236,627,34,23,69.738602,ZAM
5,1,1,1,12,5,491,621,23,23,61.462524,Gy
5,1,1,1,12,17,1528,622,29,16,70.45047,Kel
5,1,1,1,16,6,486,807,19,17,84.870773,Ğ
5,1,1,1,18,2,490,848,15,14,90.323174,@
5,1,1,1,19,3,492,887,13,13,74.379532,.
5,1,1,1,22,2,492,999,13,13,82.116501,©
5,1,1,1,25,2,492,1148,13,13,66.970695,©
5,1,1,1,26,1,50,1206,6,3,87.169556,İ
5,1,1,1,27,3,486,1224,19,18,69.100304,e
5,1,1,1,28,2,320,1289,32,48,61.430923,nal
5,1,1,1,29,3,308,1330,2,2,72.209091,|
5,1,1,1,29,4,487,1336,18,16,88.406944,@
5,1,1,1,30,2,493,1375,12,12,68.645477,.
5,1,1,1,31,2,486,1407,19,17,90.533386,@
5,1,1,1,31,3,522,1402,26,36,61.662373,fe
5,1,1,1,35,7,1542,1596,10,19,74.053619,>
5,1,1,1,36,1,47,1621,50,12,88.488274,Reze
5,1,1,1,36,2,209,1617,47,16,83.031555,taklb
5,1,1,1,37,6,986,1617,52,46,62.623123,feck
5,1,1,1,37,7,1056,1639,22,15,78.72493,do
5,1,1,1,37,10,1362,1647,7,11,67.521088,$
5,1,1,1,40,1,492,1753,13,13,86.722168,e
5,1,1,1,41,1,492,1827,13,13,68.540421,«
5,1,1,1,42,1,489,1865,16,14,91.226158,a
5,1,1,1,43,1,493,1940,12,12,77.611938,e
5,1,1,1,43,3,714,1939,50,18,81.701202,dive
